ISBN,Author
9780446359207,Dan Simmons
9780380710829,Colleen McCullough
9780679729976,Vladimir Nabokov
9780571201150,Sylvia Plath
9780452281325,David D. Burns
9780385603102,Mark Z. Danielewski
9780451527882,Victor Hugo
9780385495172,Geoffrey Miller
9780553381665,Jean M. Auel
9781423323235,Michael Connelly
9780375760389,James A. Michener
9780375760372,James A. Michener
9780515133875,Laurell K. Hamilton
9781561796779,Dean Koontz
9780312982515,Robert Ludlum
9780670910618,Bryce Courtenay
9780743249294,Philippa Gregory
9780965045643,Jeffrey Eugenides
9780755300204,James Patterson
9780755300204,Andrew Gross
9781400077304,Ron Chernow
9781596913233,Donna Tartt
9780312997113,Jeffrey Archer
9780743262132,David McCullough
9780743437813,Jeffery Deaver
9780821776056,Lisa Jackson
9780141010311,Craig Dirgo
9780141010311,Craig Dirgo
9780521293730,Mark Helprin
9780345437976,Susan Carroll
9781400095469,Jane Smiley
9781416516859,Clive Cussler
9780060596385,Clive Barker
9780517229255,Jacob Grimm
9780385340359,Gordon Dahlquist
9780345453747,Douglas Adams
9780316769174,J.D. Salinger
9780976694007,Dave Thomas
9780439064866,J.K. Rowling
9780439785969,J.K. Rowling
9780439655484,J.K. Rowling
9780747546245,J.K. Rowling
9780517229255,Wilhelm Grimm
9780976694007,David Heinemeier Hansson
9780976694007,Leon Breedt
9780976694007,Mike Clark
9780976694007,Thomas  Fuchs
9780976694007,Andreas  Schwarz
9780451527882,Walter J. Cobb
